ID_Cliente;Nombre;Edad;Genero;Localidad;Nivel_Socioeconomico
60;Alberto Sánchez;59;Masculino;CHAPINERO;Bajo
61;Cristian Montoya;25;Femenino;usaquen;Alto
62;Jaime Contreras;67;Otro;Chapinero;Medioo
63;María Valencia;63;Femenino;USAQUEN;Medioo
64;María Oviedo;20;No binario;Engativá;bajoooo
65;;49;Otro;subaa;Bajooo
66;Fabio Serrano;57;No binario;KENNEDY;bajo
67;NATALIA MARTÍNEZ;33;No binario;SUBA;Alto
68;Henry Erazo;35;Otro; Suba;Medio
69;Andrea Reyes;33;No binario;Chapinero;bajo
70;Patricia Ochoa;41;Otro;kennedy;ALTO
71;Sebastián Hernández;64;Masculino;CHAPINEROOO;ALTO
72;Linda Caicedo;51;Masculino;USAQUEN;Alto
73;Mónica Arboleda;20;Otro;Kennedy;Altoo
74;Deisy Rojas;48;Otro;Usaquén;medio
75;ANDRÉS ARIZA;54;Masculino;KENNEDY;Medio
76;alejandra álvarez;56;Femenino;ENGATIVA;medio
77;Ancizar Bernal;54;Masculino;chapinero;BAJO
78;  Betty  Delgado  ;22;No binario;Kennedyy;Bajo
79;Paola Torres;47;Femenino;KENNEDY;bajo
80;Gladys Fernández;35;Masculino;USAQUEN;Medioo
81;Ángela Torres;37;Otro;SUBA;Medioo
82;Patricia Barrera;34;;KENNEDY;Bajo
83;Ángela Espitia;20;Femenino;subaa;Alto
84;Humberto García;23;No binario;Suba;bajoooo
85;Leidy Camacho;43;Masculino;Usaquén ;Medio
86;Fernanda Hernández;18;No binario;chapinero;Medioo
87;Freddy Jaramillo;31;Femenino;subaa;medio
88;Enith Serna;33;Otro;kennedy;bajo
89;Mario Ramírez;25;Femenino;USAQUEN;BAJO
90;Diana Mejía;47;No binario;Kennedyy;Alto
91;Estela Correa;44;Otro;USAQUEN;Medioo
92;Miguel Gil;46;Otro;kennedy;bajoooo
93;Marino López;42;No binario;SUBA;Altoo
94;Yamile Herrera;59;No binario;Kennedy;Medioo
95;nelson vargas;24;No binario;;alto
96;LILIANA CARDONA;34;No binario;Usaquén ;MEDIO
97;Rubiela Castro;66;Masculino;CHAPINERO;BAJO
98;Tatiana Salgado;24;Masculino;USAQUEN;Bajo
99;RAQUEL PRIETO;45;No binario;CHAPINEROOO;Medio
100;Luis Martínez;49;Femenino;usaquen;alto
101;;75;Femenino;engativa;BAJO
102;Bayron Perea;72;No binario;Suba;Medioo
103;Isaac Carmona;19;No binario;KENNEDY;Altoo
104;GustavoPérez;49;Otro;CHAPINERO;bajoooo
105;  Nayibe  Rojas  ;66;Femenino;Usaquén;medio
106;Yenny Martínez;36;No binario;Kennedy;bajoooo
107;Lizeth Rengifo;34;No binario;USAQUEN;bajoooo
108;Mónica Páez;66;No binario;kennedy;Altoo
109;Yasmín Salazar;41;Otro;engativa;bajo
110;René Barragán;38;Femenino;subaa;BAJO
111;luis pinzón;20;No binario;CHAPINERO;Alto
112;Lucía Jiménez;62;No binario;Kennedy;alto
113;Eder Murillo;35;;subaa;bajo
114;ANDRÉS CANO;52;Otro;usaquen;Medio
115;Luz Orozco;31;Masculino;Usaquén ;Alto
116;José Márquez;53;Femenino;CHAPINERO;Alto
117;Cecilia Salamanca;27;Otro;Suba;Bajo
118;Ana Díaz;55;Femenino;Kennedy;MEDIO
119;JUAN GIL;41;Masculino;CHAPINERO;Bajo
120;Leidy González;37;Masculino;SUBA;Bajooo
121;Adolfo Vargas;22;Otro;Engativá;Medioo
122;Juan Beltrán;56;No binario;Engativá ;ALTO
123;Yuliana Orozco;53;Femenino;CHAPINERO;medio
124;José Betancur;38;Otro;SUBA;Medio
125;ADRIANA BECERRA;69;Masculino;kennedy;alto
126;Daniela Medina;66;Masculino;Kennedyy;Medio
127;Javier Suárez;32;Otro;engativa;BAJO
128;Valentina Espinosa;67;Masculino;usaquen;
129;Patricia Cruz;40;;KENNEDY;Medio
130;Ocampo Orjuela;65;No binario;Usaquén ;BAJO
131;Patricia Rojas;23;Femenino;Kennedyy;Medio
132;Mónica Saavedra;46;Femenino;Suba;Medio
133;Alonso Cuéllar;60;Femenino;Kennedyy;bajo
134;Eliana Sánchez;34;Masculino;;Alto
135;Hernán Narváez;53;Otro;Usaquén;medio
136;David Ospino;54;No binario;ENGATIVA;
137;Jesús Rodríguez;71;Otro;Suba;Medioo
138;VÍCTOR SUÁREZ;65;Otro;Engativá;Medio
139;  Alexander  Rico  ;40;Femenino;Kennedy;Alto
140;Marcela González;29;No binario;KENNEDY;medio
141;Sandra Cortés;57;Otro;Engativá;alto
142;Luisa Calderón;50;No binario;Usaquén;BAJO
143;Óscar Ramírez;57;No binario;kennedy;ALTO
144;Fernando Ortiz;59;No binario;Usaquén;Altoo
145;Anyi Espitia;50;Masculino;subaa;MEDIO
146;  Edgar  López  ;36;Otro;Usaquén;alto
147;Estela Castro;42;Femenino;KENNEDY;bajoooo
148;María Fuentes;26;Masculino;ENGATIVA;bajoooo
149;Fernando Muñoz;65;Masculino;Engativá ;Bajo
150;  Jairo  Caicedo  ;67;Femenino;Kennedy;Altoo
151;Yadira Rodríguez;74;Otro;Kennedyy;Bajooo
152;  Ana  Nieto  ;57;Femenino;Usaquén;alto
153;Rubén Vásquez;66;No binario;CHAPINERO;Altoo
154;Hernán Murillo;61;No binario;USAQUEN;MEDIO
155;Milena Hernández;69;Otro;SUBA;MEDIO
156;Natalia Maldonado;25;Femenino; Suba;Bajooo
157;Orlando Estrada;74;Masculino;ENGATIVA;bajo
158;ERNESTO ROJAS;38;Otro;Kennedy;medio
159;tatiana lópez;46;Masculino;;Alto
160;Julio Loaiza;25;Femenino;Usaquén;alto
161;Silvia Beltrán;75;Masculino;KENNEDY;Alto
162;LucíaOviedo;54;Masculino;engativa;MEDIO
163;Wilson Obando;19;No binario;ENGATIVA;BAJO
164;Edwin Rangel;33;Masculino;Usaquén ;bajoooo
165;María Galvis;67;No binario;Kennedy;Altoo
166;VanessaGranados;68;Masculino;USAQUEN;MEDIO
167;FranciscoAlvarado;36;Masculino;Usaquén ;Altoo
168;Edwin Ortiz;75;Otro;SUBA;bajoooo
169;Fabián González;64;No binario;CHAPINEROOO;bajoooo
170;Alfredo Andrade;46;No binario;subaa;Bajo
171;Inés Ayala;45;Masculino;ENGATIVA;Altoo
172;  Magda  Suárez  ;72;No binario;Engativá;alto
173;William Torres;56;No binario;engativa;Medio
174;María Ramírez;59;Masculino;;MEDIO
175;Teresa Leal;34;Femenino;USAQUEN;medio
176;reinaldo castro;29;No binario;Usaquén ;ALTO
177;Jorge Castillo;72;Femenino; Suba;bajo
178;Joan Montoya;41;Otro;kennedy;Medio
179;Samuel González;48;No binario;Engativá;bajoooo
180;Marcos Díaz;40;Femenino;Kennedy;Bajo
181;Uriel Ortiz;28;Femenino; Suba;Medio
182;Sandra Mejía;26;Masculino;CHAPINEROOO;Medioo
183;Miguel Álvarez;56;Masculino;Chapinero;alto
184;Alberto Molina;54;Masculino;kennedy;BAJO
185;Constanza Escobar;37;Masculino;Engativá ;bajo
186;johana blanco;38;Otro;Kennedy;MEDIO
187;María Velandia;35;Femenino;USAQUEN;Medioo
188;Andrés Pinzón;70;Otro;CHAPINEROOO;MEDIO
189;Jairo Camacho;23;No binario;chapinero;Bajo
190;Juliana García;59;Otro;Suba;BAJO
191;Enrique Valencia;43;Femenino;USAQUEN;MEDIO
192;Eugenia Miranda;57;Masculino;Suba;Altoo
193;Óscar Suárez;27;No binario;Usaquén;ALTO
194;Natalia Parra;56;Femenino;Kennedyy;Bajooo
195;Yamile Jiménez;39;No binario;USAQUEN;Bajo
196;Carmen Salazar;55;Masculino;usaquen;Altoo
197;Walter Buitrago;21;Femenino;Kennedyy;Bajooo
198;Roberto Garzón;62;Masculino;Engativá ;ALTO
199;Karen Vásquez;48;Masculino; Suba;bajoooo
200;María Gutiérrez;29;Otro;usaquen;bajo
201;Ruby Murillo;37;Femenino;SUBA;bajoooo
202;Jesús Restrepo;36;No binario;ENGATIVA;Altoo
203;Vanesa Rojas;63;No binario;SUBA;MEDIO
204;Elsy Galeano;24;Femenino; Suba;bajo
205;William Pérez;24;Femenino;;Alto
206;Andrea Molina;48;Otro;Usaquén;Medio
207;Fernando Quintero;72;Femenino;CHAPINEROOO;Bajo
208;Leonardo Espinosa;65;Otro;Chapinero;Medioo
209;Javier Torres;59;No binario;Kennedy;medio
210;Alejandra Rodríguez;64;Otro;Chapinero;Altoo
211;Olga Ortega;57;No binario; Suba;Bajooo
212;  Gustavo  García  ;38;Masculino;CHAPINERO;BAJO
213;Fabiola Méndez;18;Otro;Usaquén;medio
214;Elena Benavides;75;Otro;USAQUEN;bajo
215;candelaria vargas;65;Otro;kennedy;Altoo
216;Alexander Rodríguez;33;Masculino; Suba;Medio
217;césar fuentes;75;Femenino; Suba;alto
218;Sandra Salazar;50;Masculino; Suba;Medioo
219;Gloria Bustos;64;;Chapinero;Medioo
220;José Martínez;52;Masculino;SUBA;Bajooo
221;tatiana miranda;64;No binario;ENGATIVA;Bajooo
222;Aida Meneses;52;Otro;kennedy;Alto
223;Enrique Ojeda;;;kennedy;Bajooo
224;Juan Quiroga;35;Masculino;Engativá ;Bajo
225;ADOLFO ÁVILA;46;Masculino;Usaquén;bajo
226;Óscar Mora;26;Otro;KENNEDY;Medioo
227;Álvaro Vásquez;74;Femenino;usaquen;Medioo
228;Yesid Sarmiento;45;Masculino;ENGATIVA;bajoooo
229;Cielo Muñoz;29;No binario;CHAPINERO;ALTO
230;Esther Henao;44;Femenino;usaquen;alto
231;Sebastián Guzmán;52;Femenino;ENGATIVA;Medioo
232;ANTONIO CASTRO;55;Femenino;Usaquén ;Bajo
233;  Ana  Gutiérrez  ;65;No binario;Kennedyy;Bajooo
234;Luisa Ruiz;42;Otro;engativa;medio
235;Andrés Hernández;66;Femenino;Engativá ;bajo
236;ÁngelaVélez;55;No binario;chapinero;Bajooo
237;Camilo Martínez;61;No binario;SUBA;ALTO
238;  Julia  Ríos  ;49;Masculino;Engativá;alto
239;MartaRojas;58;Femenino;;bajoooo
240;Mireya Espitia;48;Masculino;;Bajo
241;;52;Masculino;Engativá ;Alto
242;JUAN VÉLEZ;30;Otro;usaquen;Medio
243;Esteban Cabrera;62;Masculino;Usaquén;Bajooo
244;Mery Rodríguez;62;No binario;Usaquén ;Medio
245;Dayana Gallego;75;No binario;Engativá;BAJO
246;Guillermo Posada;72;Femenino;ENGATIVA;BAJO
247;Yuliana Cano;42;Otro;Kennedy;ALTO
248;Luis Agudelo;21;Femenino;Usaquén ;Medioo
249;Inés Torres;19;No binario;engativa;Bajooo
250;Nohora Gómez;23;Otro;Engativá;Alto
251;Mary Duarte;42;Masculino;USAQUEN;Altoo
252;karina pérez;46;No binario;Engativá;Medio
253;Nury Hernández;18;No binario;kennedy;bajo
254;  Antonio  Rodríguez  ;26;Otro;Engativá;BAJO
255;Helena Ospina;34;No binario;chapinero;Alto
256;María Franco;57;Otro;Engativá ;alto
257;marcela restrepo;62;Otro;ENGATIVA;BAJO
258;Luz Rivera;68;No binario;ENGATIVA;Medioo
259;Laura Valencia;67;No binario;chapinero;BAJO
260;CRISTIAN RIVERA;68;No binario;USAQUEN;alto
261;César Roa;46;No binario;kennedy;ALTO
262;JohanaGarcía;62;Masculino;CHAPINERO;bajoooo
263;María Montoya;59;No binario;Usaquén ;Bajooo
264;ISIDRO ROMERO;65;Femenino;ENGATIVA;alto
265;Jesús Ocampo;19;Otro;Engativá;ALTO
266;Jesús Gallego;31;Otro;subaa;medio
267;Bernardo Ramírez;25;;Suba;Alto
268;María Sánchez;53;No binario;CHAPINERO;alto
269;Carmen Camacho;19;Femenino;Engativá ;ALTO
270;Carlos Torres;68;Masculino;kennedy;bajoooo
271;diego castañeda;49;Otro;Kennedyy;Medio
272;Claudia Calderón;70;Otro;KENNEDY;Alto
273;César González;41;No binario;Kennedy;Bajooo
274;Leonardo Alfonso;59;Femenino;SUBA;Alto
275;Sandra Rodríguez;40;No binario;ENGATIVA;MEDIO
276;Mercedes Buitrago;63;No binario;KENNEDY;Altoo
277;RichardMedina;36;No binario;SUBA;Medio
278;Alejandro García;41;Masculino;subaa;Bajooo
279;Eduardo Pineda;37;Masculino;engativa;Medio
280;Sandra Perdomo;33;Otro;Kennedyy;Alto
281;Gustavo Carvajal;69;Otro;Kennedyy;bajoooo
282;Paola Castrillón;72;Masculino;Engativá ;BAJO
283;julio romero;33;Otro;ENGATIVA;Medioo
284;Elisa Arias;22;Masculino;usaquen;bajoooo
285;José Herrera;73;Masculino;subaa;ALTO
286;GUSTAVO PINTO;31;Femenino;Usaquén ;bajoooo
287;sandra salamanca;68;Masculino;subaa;
288;  Fernando  Salcedo  ;45;Femenino;USAQUEN;BAJO
289;Camilo Mejía;60;Femenino;USAQUEN;Altoo
290;Felipe Paz;18;Masculino;CHAPINERO;medio
291;;70;No binario;SUBA;Bajooo
292;Alba Montes;41;Femenino;Kennedy;alto
293;Andrés Ramos;;No binario;chapinero;Alto
294;Nohora Ariza;31;Masculino;Suba;Bajooo
295;Alba Melo;33;Masculino;Kennedyy;Medioo
296;Álvaro García;;Otro;Kennedyy;ALTO
297;Alonso Vargas;68;No binario;CHAPINERO;Medioo
298;Antonia León;;Otro;KENNEDY;MEDIO
299;Lizeth Gómez;67;Masculino;;Bajo
300;Hernando Díaz;63;No binario;ENGATIVA;MEDIO
301;  Laura  Bautista  ;23;Femenino;Kennedy;Bajooo
302;Ruth Rangel;59;No binario;CHAPINERO;Medio
303;diego castro;21;Femenino;Kennedy;Alto
304;María Erazo;70;Femenino;usaquen;Medio
305;AndreaPinzón;35;Otro;KENNEDY;medio
306;Anyi Uribe;54;Femenino;Suba;alto
307;Eduardo Jaimes;20;Masculino;SUBA;Alto
308;Concepción Alzate;69;No binario;CHAPINERO;ALTO
309;Andrea Torres;25;Masculino; Suba;Bajooo
310;Eduardo Suárez;72;Masculino;Chapinero;BAJO
311;Carlos Ortega;47;No binario;chapinero;MEDIO
312;Andrés Salazar;;Femenino;Chapinero;Bajo
313;Mauricio Valencia;37;Femenino;Usaquén;Alto
314;DIEGO ORTIZ;75;No binario;engativa;ALTO
315;TATIANA GONZÁLEZ;70;Masculino;Kennedy;BAJO
316;Elena González;71;Otro;CHAPINERO;bajo
317;Andrés Castellanos;24;No binario;Suba;Altoo
318;Rosa Rojas;25;Otro;Kennedyy;bajoooo
319;Yeny Vanegas;43;Otro;CHAPINEROOO;Bajooo
320;Ismael Silva;24;Femenino;Usaquén;bajo
321;Amparo López;58;Masculino;usaquen;Medio
322;ELENA TORRES;46;Masculino;Usaquén ;medio
323;Gloria Rodríguez;64;Masculino;Engativá ;bajo
324;Andrés Castro;27;;CHAPINERO;medio
325;Roger Cortés;35;No binario; Suba;Altoo
326;JhonHernández;63;No binario;KENNEDY;Bajooo
327;GabrielRincón;19;Otro;SUBA;Altoo
328;Omar Córdoba;33;Otro;Usaquén;bajo
329;Yuly Mendoza;71;Femenino;KENNEDY;ALTO
330;Rosa Martínez;;Femenino;chapinero;Altoo
331;Alex Acosta;49;;Kennedyy;MEDIO
332;Armando Castillo;69;Femenino;Usaquén ;Alto
333;Patricia Méndez;72;Otro;engativa;alto
334;luz sánchez;26;No binario;SUBA;Alto
335;Luis Suárez;57;Femenino;CHAPINEROOO;ALTO
336;ovidio gonzález;62;No binario;KENNEDY;Medioo
337;Cristian Calderón;58;No binario;Engativá;bajoooo
338;Dario Torres;63;Otro;usaquen;ALTO
339;José Cardona;18;No binario;CHAPINEROOO;medio
340;Lida Estrada;71;Femenino;Engativá;Bajo
341;Bladimir Suárez;22;No binario;Engativá;Medio
342;Antonio León;63;;CHAPINEROOO;Bajooo
343;jairo erazo;30;Otro;USAQUEN;Bajo
344;Laura Rojas;21;No binario;Kennedyy;Medio
345;  Alexander  Sánchez  ;23;Masculino;ENGATIVA;alto
346;Carolina García;41;Otro;Usaquén;medio
347;María Cardona;27;Masculino;engativa;Bajooo
348;Juan Jiménez;71;No binario;SUBA;bajo
349;CRISTINA TORO;63;; Suba;alto
350;diego cárdenas;46;Femenino;chapinero;Bajooo
351;Eduardo Salgado;70;Otro;Engativá;MEDIO
352;Fabián Pineda;47;Masculino;Kennedyy;Altoo
353;Alexander Saavedra;55;Masculino;KENNEDY;Altoo
354;Manuela Vásquez;44;No binario;SUBA;BAJO
355;Jorge Gamboa;43;;Usaquén ;Bajo
356;Pablo García;19;Otro;SUBA;alto
357;Claudia Álvarez;65;Otro;Engativá ;Medio
358;César Jaramillo;65;Otro; Suba;Medio
359;Nancy González;72;Masculino;chapinero;bajo
360;EDUARDO BERMÚDEZ;30;No binario;Suba;bajo
361;James Sierra;73;Otro;usaquen;ALTO
362;IbethGarcía;72;Femenino;CHAPINERO;BAJO
363;María Mejía;67;No binario;CHAPINEROOO;Bajo
364;Paula Vargas;63;Otro;ENGATIVA;medio
365;Andrea Burgos;70;Masculino;;bajoooo
366;Fredy Córdoba;61;Masculino;usaquen;BAJO
367;Jhoan Anaya;37;Femenino;Kennedyy;bajoooo
368;Javier Ortiz;36;No binario;Usaquén;Medioo
369;María Tovar;61;No binario;engativa;Alto
370;Nelcy Arango;24;Otro;kennedy;Alto
371;Albeiro Díaz;32;Otro;Usaquén ;Medioo
372;Juan Acevedo;73;Masculino;chapinero;alto
373;Nathalia López;72;Femenino;KENNEDY;medio
374;Doris Quintero;23;Femenino;Usaquén;
375;Enrique Andrade;66;Masculino;Engativá ;Bajooo
376;Sofía Aguirre;;Otro;Usaquén ;MEDIO
377;Nancy Garcés;33;Otro;Suba;Medioo
378;JOHN CAICEDO;36;Otro;Kennedy;medio
379;  Yasmín  Álvarez  ;69;Femenino;Kennedy;Bajo
380;  Paula  Manrique  ;59;No binario;usaquen;Medioo
381;Lilia Molina;59;Masculino;Engativá ;Medio
382;Adalberto Navarro;62;Masculino;Suba;BAJO
383;Andrés Peña;75;Masculino;Suba;Medioo
384;Liliana Morales;30;No binario;Usaquén;bajo
385;Alfonso Pineda;18;Masculino;SUBA;Medio
386;RAFAEL RAMÍREZ;75;Femenino;USAQUEN;Bajo
387;  Luis  Chaparro  ;36;Otro;Suba;Altoo
388;BettyBenavides;59;Otro;Kennedyy;ALTO
389;Paola Quiroz;43;No binario;ENGATIVA;medio
390;Alberto Moreno;25;Masculino;CHAPINEROOO;Medioo
391;Cecilia Caicedo;57;Otro;Kennedy;medio
392;Luis López;34;Masculino; Suba;Medioo
393;Jonatan Barreto;73;Masculino;CHAPINERO;alto
394;Esmeralda González;53;Masculino;;MEDIO
395;Hernán Sierra;22;Otro;usaquen;bajo
396;Óscar Palacios;23;No binario;SUBA;Medio
397;Esperanza Palacio;;Masculino;Chapinero;Altoo
398;Aurelio Vargas;50;No binario;engativa;bajo
399;Luis Flórez;56;Otro;Suba;alto
400;Elkin Palacios;69;Otro;Usaquén;medio
401;Fabio Alvarado;24;Femenino;ENGATIVA;Altoo
402;Esperanza Angulo;20;Masculino;subaa;Medioo
403;marleny betancur;51;No binario;SUBA;Altoo
404;  José  Fonseca  ;64;Masculino;Kennedyy;bajoooo
405;Amparo Jiménez;62;Otro;Usaquén ;medio
406;juan molano;74;Otro;kennedy;ALTO
407;Janneth Sánchez;31;Otro;Kennedy;alto
408;  Andrés  Herrera  ;58;Masculino;kennedy;Medioo
409;Luis Ríos;75;Otro;Engativá ;MEDIO
410;Yasmín Ruiz;21;Femenino;usaquen;Bajo
411;Liliana Benavides;20;No binario;kennedy;ALTO
412;Carlos Moreno;68;Otro;Usaquén;Bajooo
413;Iván Gómez;53;Otro;subaa;alto
414;Mauricio Rueda;52;Femenino;chapinero;Alto
415;EDWIN FLÓREZ;65;No binario;usaquen;Alto
416;Alexander Fonseca;;Femenino;Usaquén ;Altoo
417;Arbey Zapata;49;Otro;Usaquén ;Alto
418;María Sierra;52;Masculino;chapinero;bajoooo
419;Juan Polo;51;Masculino;engativa;alto
420;Omar Mendoza;61;No binario;Suba;MEDIO
421;AndrésCruz;67;No binario;USAQUEN;bajo
422;DANIEL PEÑA;67;Masculino;chapinero;Altoo
423;Jesús Sánchez;31;No binario;Engativá;Alto
424;Yuly Tamayo;22;Otro;KENNEDY;BAJO
425;Ruth Aguirre;38;;kennedy;
426;JESÚS MELO;20;Masculino; Suba;Altoo
427;Hernando Andrade;46;Masculino;kennedy;ALTO
428;Mery Ruiz;58;Otro;Chapinero;MEDIO
429;ÓscarOchoa;43;Masculino;engativa;alto
430;alfredo gómez;57;Femenino;KENNEDY;Altoo
431;Patricia Barrera;53;Masculino;chapinero;medio
432;Marco Bolívar;33;Masculino;Usaquén ;bajoooo
433;Mauricio Mejía;54;Otro;CHAPINEROOO;
434;Diana Acevedo;45;Otro;Usaquén ;medio
435;Omar Marín;24;Masculino;Kennedy;bajo
436;Jhon Rentería;22;Masculino;KENNEDY;Medioo
437;LuzRosero;75;No binario;Kennedy;bajo
438;Margarita Rivera;26;Masculino; Suba;
439;Milena Contreras;61;Femenino;CHAPINEROOO;Medioo
440;Carlos Alzate;48;Masculino;SUBA;BAJO
441;CarolinaGarcía;68;No binario;Usaquén;alto
442;Alfredo Beltrán;71;Otro;KENNEDY;alto
443;Daniela Barreto;22;No binario;CHAPINERO;bajoooo
444;Isabel Restrepo;74;Femenino;CHAPINERO;alto
445;  Johana  Muñoz  ;56;Masculino;Engativá ;ALTO
446;María Cifuentes;55;No binario;;Medioo
447;rodrigo buitrago;75;Masculino;CHAPINEROOO;Bajooo
448;Cecilia Marín;;Otro;chapinero;medio
449;  Johanna  Fernández  ;56;Femenino; Suba;ALTO
450;Fernando Salazar;22;No binario;Chapinero;MEDIO
451;Tatiana Meza;29;Masculino;kennedy;Medio
452;Alejandra Flórez;52;No binario;engativa;ALTO
453;Lidia Moreno;68;Otro;KENNEDY;Alto
454;Carlos Córdoba;23;No binario;Chapinero;Altoo
455;;51;;Usaquén ;Medio
456;Faber Jiménez;72;Otro;ENGATIVA;Bajooo
457;Bryan Navarro;53;Otro;KENNEDY;ALTO
458;esperanza ospina;25;No binario;CHAPINEROOO;MEDIO
459;Manuel Sarmiento;62;Masculino;Chapinero;Alto
460;Luz Calderón;34;Masculino;ENGATIVA;Bajooo
461;Azucena Rentería;56;Femenino;subaa;
462;Alexandra Vera;30;; Suba;Medioo
463;AlbertoRomero;18;Masculino;ENGATIVA;Bajooo
464;Fernando Beltrán;;Masculino;kennedy;bajoooo
465;Javier Camargo;30;No binario;usaquen;MEDIO
466;ALEXANDER VELASCO;25;Otro;KENNEDY;medio
467;Antonio Rentería;66;No binario;KENNEDY;medio
468;JORGE ÁLVAREZ;32;Femenino;Engativá ;MEDIO
469;Edna Murillo;36;Otro;CHAPINEROOO;bajoooo
470;Miguel López;65;Femenino;chapinero;bajo
471;Elizabeth Cano;33;Otro;Suba;Medio
472;Gloria Hernández;66;Masculino;engativa;medio
473;Andrés Domínguez;35;Otro;KENNEDY;MEDIO
474;Andrés Caro;50;Femenino;Suba;medio
475;ÁlvaroMuñoz;42;Otro;usaquen;BAJO
476;Augusto Ramos;41;No binario;engativa;Bajooo
477;  Mario  Cano  ;54;Masculino;CHAPINERO;Bajooo
478;Ruth González;48;Femenino;Kennedy;alto
479;Uriel Hernández;37;Masculino;CHAPINEROOO;BAJO
480;Didier Estrada;39;Otro;usaquen;Bajooo
481;Daniel Puentes;30;Femenino;USAQUEN;alto
482;Reinaldo Cifuentes;23;Otro;Kennedy;alto
483;Dora Mercado;54;Masculino;Usaquén ;bajoooo
484;María Montoya;43;No binario;engativa;MEDIO
485;Elvia Sandoval;19;Femenino;Engativá;Bajooo
486;JAVIER OROZCO;53;No binario;Engativá;Medioo
487;Armando Ballesteros;37;Otro;Kennedy;Alto
488;Sandra Moreno;38;No binario;kennedy;MEDIO
489;María Loaiza;29;No binario;KENNEDY;alto
490;Luis Ceballos;52;Masculino;engativa;Alto
491;InésMartínez;72;Otro;Chapinero;medio
492;Augusto Chávez;;Otro;Chapinero;bajo
493;Angie Parra;28;No binario;CHAPINERO;Bajooo
494;Isabel Monroy;57;Otro;kennedy;Bajooo
495;ANGIE RINCÓN;25;No binario;Kennedyy;bajoooo
496;;52;;USAQUEN;ALTO
497;DianaMurcia;18;Otro;SUBA;medio
498;MarcelaCárdenas;66;Masculino;ENGATIVA;medio
499;Enrique Villamizar;42;Masculino;CHAPINERO;medio
500;Gregorio Guerrero;65;Femenino;USAQUEN;Alto
